  I     	  II     	  AO     	  AO'		
-71.72   	-94.91   	142.22   	-137.33		
-70.19   	-91.86   	141.67   	-147.51		
-71.41   	-90.03   	141.08   	-152.59		
-73.24   	-90.94   	140.47   	-157.68		
-73.85   	-93.38   	139.84   	-162.77		
-73.85   	-94.91   	139.19   	-167.85		
-73.24   	-95.21   	138.51   	-167.85		
-72.63   	-94.91   	137.84   	-167.85		
-72.63   	-95.21   	137.17   	-167.85		
-72.33   	-95.83   	136.50   	-162.77		
-71.11   	-96.13   	135.85   	-167.85		
-67.75   	-93.69   	135.18   	-162.77		
-60.42   	-86.67   	134.53   	-157.68		
-48.22   	-73.24   	133.90   	-157.68		
-31.43   	-52.19   	133.26   	-157.68		
-11.29   	-23.50   	132.63   	-152.59		
 11.29   	 12.82   	132.02   	-152.59		
 33.26   	 52.49   	131.41   	-147.51		
 51.27   	 86.98   	130.82   	-142.42		
 59.20   	105.90   	130.25   	-137.33		
 57.68   	 99.79   	129.70   	-132.25		
 57.07   	 68.66   	129.18   	-132.25		
 79.65   	 26.25   	128.65   	-127.16		
148.01   	 -8.54   	128.14   	-122.07		
263.37   	-20.14   	127.65   	-111.90		
400.70   	 -3.05   	127.20   	-111.90		
518.80   	 35.40   	126.75   	-106.82		
588.07   	 79.35   	126.33   	-106.82		
605.77   	112.30   	125.90   	 -96.64		
595.09   	123.60(R)	125.51   	 -91.56		
582.58   	112.61   	125.15   	 -86.47		
578.92   	 89.42   	124.80   	 -86.47		
575.56   	 68.05   	124.46   	 -76.30		
556.34   	 56.15   	124.15   	 -71.21		
514.83   	 49.13   	123.87   	 -66.12		
459.29   	 37.54   	123.60   	 -61.04		
407.10   	 13.43   	123.36   	 -55.95		
374.45   	-21.97   	123.13   	 -50.86		
365.30   	-61.65   	122.93   	 -45.78		
372.31   	-99.79   	122.75   	 -40.69		
382.08   	-133.67   	122.58   	 -45.78		
385.13   	-162.96   	122.40   	 -40.69		
377.81   	-188.29   	122.24   	 -45.78		
362.24   	-206.60   	122.05   	 -40.69		
340.58   	-212.40   	121.89   	 -40.69		
312.81   	-204.47   	121.73   	 -40.69		
278.02   	-184.94   	121.57   	 -35.61		
235.90   	-163.27   	121.42   	 -40.69		
187.07   	-150.45   	121.26   	 -40.69		
132.75   	-154.11   	121.10   	 -40.69		
 74.77   	-170.90   	120.94   	 -40.69		
 17.40   	-187.07   	120.77   	 -45.78		
-34.18   	-187.38   	120.59   	 -45.78		
-75.68   	-166.02   	120.41   	 -55.95		
-106.20   	-131.53   	120.18   	 -55.95		
-127.87   	-100.71   	119.96   	 -61.04		
-143.43   	-85.75   	119.71   	 -71.21		
-153.50   	-86.98   	119.43   	 -76.30		
-157.47   	-94.60   	119.12   	 -76.30		
-157.17   	-98.57   	118.82   	 -76.30		
-154.72   	-95.83   	118.51   	 -76.30		
-153.20   	-89.42   	118.21   	 -81.38		
-152.89   	-84.53   	117.88   	 -76.30		
-153.50   	-82.70   	117.58   	 -71.21		
-153.50   	-82.70   	117.29   	 -61.04		
-153.20   	-82.70   	117.05   	 -45.78		
-152.59   	-81.79   	116.87   	 -30.52		
-152.28   	-80.57   	116.74   	   0.00		
-151.98   	-79.35   	116.74   	  35.61		
-151.06   	-78.13   	116.89   	  81.38		
-150.15   	-77.51   	117.21   	 137.33		
-149.54   	-76.90   	117.76   	 193.29		
-148.93   	-76.60   	118.53   	 259.41		
-148.62   	-76.29   	119.57   	 315.36		
-148.62   	-76.60   	120.83   	 376.40		
-148.01   	-76.60   	122.34   	 427.26		
-147.09   	-76.29   	124.05   	 473.04		
-146.18   	-75.68   	125.94   	 513.73		
-145.87   	-75.07   	128.00   	 549.34		
-145.87   	-74.46   	130.19   	 574.77		
-146.48   	-73.85   	132.49   	 595.11		
-147.09   	-73.55   	134.87   	 605.29		
-148.32   	-73.85   	137.29   	 615.46		
-149.54   	-74.16   	139.76   	 615.46		
-151.67   	-74.46   	142.22   	 610.37		
-154.42   	-74.16   	144.66   	 595.11		
-158.08   	-73.24   	147.04   	 574.77		
-162.05   	-72.02   	149.34   	 554.42		
-166.02   	-70.80   	151.56   	 528.99		
-169.68   	-69.89   	153.67   	 503.56		
-172.42   	-68.66   	155.69   	 473.04		
-175.17   	-66.83   	157.58   	 442.52		
-178.22   	-63.48   	159.35   	 417.09		
-181.58   	-57.98   	161.02   	 386.57		
-184.94   	-50.66   	162.56   	 356.05		
-187.07   	-41.50   	163.99   	 325.53		
-187.07   	-31.13   	165.29   	 300.10		
-185.24   	-21.06   	166.49   	 274.67		
-182.50   	-12.51   	167.59   	 244.15		
-178.22   	 -6.41   	168.56   	 223.80		
-172.73   	 -2.75   	169.46   	 193.29		
-166.32   	 -0.92   	170.23   	 167.85		
-159.61   	  0.61   	170.90   	 142.42		
-152.89   	  3.05   	171.47   	 116.99		
-145.57   	  8.24   	171.94   	  91.56		
-137.63   	 15.87   	172.31   	  66.12		
-129.09   	 25.63   	172.57   	  35.61		
-120.54   	 36.01   	172.72   	  15.26		
-112.30   	 44.56   	172.78(S)	 -10.17		
-104.68   	 50.96   	172.74   	 -40.69		
-97.05   	 54.32   	172.57   	 -61.04		
-90.03   	 55.24   	172.33   	 -91.56		
-83.92   	 53.71   	171.96   	-116.99		
-78.13   	 50.35   	171.49   	-147.51		
-72.94   	 44.86   	170.90   	-172.94		
-68.05   	 38.15   	170.21   	-208.54		
-63.78   	 30.52   	169.38   	-233.98		
-60.73   	 22.58   	168.44   	-264.50		
-59.20   	 14.34   	167.38   	-284.84		
-57.68   	  5.19   	166.25   	-310.27		
-56.46   	 -4.88   	165.00   	-325.53		
-54.93   	-15.87   	163.70   	-345.88		
-54.02   	-27.16   	162.32   	-361.14		
-54.32   	-36.62   	160.87   	-366.22		
-55.24   	-43.33   	159.41   	-371.31		
-55.85   	-47.30   	157.92   	-361.14		
-55.85   	-49.44   	156.48   	-335.71		
-55.54   	-51.57   	155.14   	-284.84		
-55.54   	-54.63   	154.00   	-244.15		
-55.24   	-56.15   	153.02   	-198.37		
-53.41   	-53.71   	152.23   	-162.77		
-49.74   	-44.86   	151.58   	-142.42		
-46.39   	-30.82   	151.01   	-111.90		
-46.08   	-14.34   	150.56   	 -96.64		
-49.74   	  1.22   	150.17   	 -76.30		
-55.54   	 14.65   	149.87   	 -66.12		
-60.12   	 27.16   	149.60   	 -66.12		
-61.04   	 41.50   	149.34   	 -71.21		
-57.98   	 58.59   	149.05   	 -81.38		
-53.10   	 76.60   	148.73   	 -81.38		
-48.22   	 92.47   	148.40   	 -86.47		
-44.25   	101.32   	148.06   	 -91.56		
-42.72   	100.71   	147.69   	-101.73		
-43.33   	 90.94   	147.28   	-101.73		
-44.86   	 75.68   	146.88   	-111.90		
-44.56   	 58.59   	146.43   	-111.90		
-38.76   	 41.50   	145.98   	-111.90		
-26.25   	 25.02   	145.53   	-116.99		
 -9.77   	  9.77   	145.07   	-116.99		
  6.41   	 -2.75   	144.60   	-122.07		
 15.87   	-11.60   	144.11   	-127.16		
 14.95   	-17.09   	143.60   	-127.16		
  2.75   	-22.28   	143.09   	-127.16		
-18.62   	-31.43   	142.58   	-132.25		
-41.81   	-48.22   	142.05   	-132.25		
-59.81   	-72.02   	141.53   	-132.25		
-68.66   	-97.05   	141.00   	-137.33		
-70.19   	-115.36   	140.45   	-142.42		
-68.36   	-122.68   	139.88   	-142.42		
-66.83   	-119.63   	139.31   	-142.42		
-66.53   	-112.92   	138.74   	-142.42		
-66.22   	-108.34   	138.17   	-147.51		
-66.22   	-108.34   	137.58   	-147.51		
-66.53   	-110.17   	136.99   	-147.51		
-68.05   	-110.47   	136.40   	-147.51		
-69.89   	-107.42   	135.81   	-142.42		
-69.89   	-102.54   	135.24   	-142.42		
-68.36   	-97.66   	134.67   	-137.33		
-65.92   	-95.52   	134.12   	-137.33		
-64.39   	-97.66   	133.57   	-137.33		
-62.26   	-102.84   	133.02   	-132.25		
-56.76   	-107.73   	132.49   	-132.25		
-44.86   	-105.29   	131.96   	-132.25		
-27.16   	-88.81   	131.43   	-137.33		
 -5.80   	-54.32   	130.88   	-132.25		
 17.09   	 -3.66   	130.36   	-132.25		
 39.37   	 53.10   	129.83   	-127.16		
 57.37   	 99.18   	129.32   	-132.25		
 66.22   	118.41(R)	128.79   	-132.25		
 65.31   	103.76   	128.26   	-127.16		
 65.00   	 63.17   	127.75   	-122.07		
 86.98   	 17.40   	127.26   	-122.07		
153.50   	-11.60   	126.77   	-116.99		
266.42   	-11.29   	126.31   	-116.99		
401.00   	 18.62   	125.84   	-111.90		
516.97   	 67.14   	125.39   	-106.82		
583.50   	117.19   	124.96   	-106.82		
598.14   	153.50   	124.54   	-106.82		
583.50   	166.32   	124.11   	-101.73		
567.02   	157.17   	123.70   	 -96.64		
560.61   	137.63   	123.32   	 -91.56		
555.42   	122.38   	122.95   	 -86.47		
535.89   	116.58   	122.60   	 -86.47		
495.30   	115.05   	122.26   	 -76.30		
443.12   	104.98   	121.95   	 -76.30		
397.95   	 77.82   	121.65   	 -71.21		
374.76   	 35.71   	121.36   	 -71.21		
373.84   	-13.12   	121.08   	 -66.12		
383.00   	-59.81   	120.81   	 -66.12		
387.88   	-97.35   	120.55   	 -61.04		
379.33   	-123.90   	120.30   	 -66.12		
356.75   	-142.82   	120.04   	 -66.12		
325.01   	-156.56   	119.78   	 -61.04		
288.39   	-167.24   	119.53   	 -66.12		
248.11   	-176.70   	119.27   	 -61.04		
206.30   	-187.68   	119.02   	 -61.04		
164.49   	-202.33   	118.78   	 -55.95		
125.12   	-223.69   	118.55   	 -61.04		
 87.59   	-249.02   	118.31   	 -55.95		
 50.35   	-268.25   	118.09   	 -55.95		
 11.60   	-268.25   	117.86   	 -55.95		
-28.08   	-242.61   	117.64   	 -61.04		
-65.92   	-198.06   	117.40   	 -61.04		
-98.88   	-151.67   	117.15   	 -61.04		
-124.82   	-119.63   	116.91   	 -66.12		
-142.21   	-108.95   	116.64   	 -66.12		
-150.76   	-113.53   	116.38   	 -66.12		
-151.98   	-122.68   	116.11   	 -66.12		
-149.23   	-127.87   	115.85   	 -61.04		
-146.18   	-127.87   	115.60   	 -61.04		
-144.96   	-124.82   	115.36   	 -61.04		
-145.26   	-120.54   	115.12   	 -55.95		
-146.48   	-116.58   	114.89   	 -50.86		
-147.09   	-112.61   	114.69   	 -50.86		
-146.48   	-109.56   	114.49   	 -35.61		
-144.65   	-107.73   	114.34   	 -20.35		
-143.13   	-106.81   	114.26   	  -5.09		
-142.82   	-104.68   	114.24(D)	  30.52		
-142.82   	-100.40   	114.36   	  61.04		
-142.21   	-95.21   	114.61   	 101.73		
-139.77   	-92.47   	115.01   	 142.42		
-135.19   	-93.69   	115.58   	 188.20		
-130.62   	-98.88   	116.34   	 244.15		
-128.48   	-103.76   	117.31   	 300.10		
-129.09   	-105.59   	118.51   	 356.05		
-130.00   	-103.45   	119.94   	 406.92		
-129.39   	-100.71   	121.57   	 452.69		
-126.95   	-101.32   	123.38   	 478.13		
-124.21   	-105.29   	125.29   	 508.65		
-122.99   	-110.17   	127.32   	 528.99		
-124.51   	-112.30   	129.44   	 549.34		
-128.17   	-110.47   	131.64   	 554.42		
-131.53   	-104.68   	133.86   	 554.42		
-133.67   	-98.27   	136.07   	 554.42		
-134.28   	-93.69   	138.29   	 544.25		
-134.89   	-93.38   	140.47   	 528.99		
