  I     	  II     	  AO     	  AO'		
-13.73   	 27.16   	 89.93   	-127.16		
-13.43   	 33.87   	 89.42   	-111.90		
-10.07   	 45.78   	 88.97   	-111.90		
 -2.75   	 65.61   	 88.52   	-106.82		
  7.93   	 90.03   	 88.10   	-101.73		
 19.53   	111.08   	 87.69   	-101.73		
 28.08   	120.24   	 87.28   	-101.73		
 30.82   	114.75   	 86.88   	 -96.64		
 27.16   	 98.88   	 86.49   	-101.73		
 21.06   	 81.48   	 86.08   	 -91.56		
 16.78   	 67.14   	 85.72   	 -91.56		
 16.48   	 55.24   	 85.35   	 -86.47		
 18.92   	 42.72   	 85.00   	 -81.38		
 21.36   	 29.60   	 84.68   	 -76.30		
 20.75   	 17.40   	 84.37   	 -71.21		
 14.34   	  6.10   	 84.09   	 -71.21		
  1.53   	 -6.71   	 83.80   	 -66.12		
-16.48   	-25.63   	 83.54   	 -76.30		
-35.71   	-50.66   	 83.23   	 -76.30		
-50.05   	-75.68   	 82.93   	 -81.38		
-53.71   	-93.38   	 82.60   	 -81.38		
-47.00   	-100.10   	 82.28   	 -91.56		
-36.01   	-99.79   	 81.91   	 -91.56		
-28.69   	-98.88   	 81.55   	 -91.56		
-29.91   	-102.23   	 81.18   	 -96.64		
-38.45   	-109.86   	 80.79   	 -91.56		
-48.52   	-116.27   	 80.43   	 -91.56		
-54.02   	-117.80   	 80.06   	 -91.56		
-53.10   	-114.14   	 79.69   	 -91.56		
-47.91   	-110.17   	 79.33   	 -86.47		
-40.89   	-109.86   	 78.98   	 -86.47		
-34.79   	-111.69   	 78.64   	 -81.38		
-29.60   	-107.42   	 78.31   	 -76.30		
-21.97   	-85.45   	 78.01   	 -76.30		
 -3.36   	-33.26   	 77.70   	 -71.21		
 39.98   	 63.48   	 77.42   	 -71.21		
122.07   	213.32   	 77.13   	 -61.04		
246.89   	411.68   	 76.89   	 -61.04		
396.73   	631.41   	 76.64   	-116.99		
613.10   	888.37(R)	 76.17   	 -50.86		
601.81   	827.64   	 75.97   	 -45.78		
500.79   	655.82   	 75.79   	 -50.86		
345.15   	440.67   	 75.58   	 -45.78		
186.77   	252.69   	 75.40   	 -40.69		
 68.97   	121.77   	 75.24   	 -45.78		
  8.24   	 33.57   	 75.06   	 -50.86		
 -7.93   	-34.18   	 74.85   	 -55.95		
 -5.19   	-86.36   	 74.63   	 -61.04		
 -4.58   	-112.00   	 74.38   	 -66.12		
-13.73   	-108.95   	 74.12   	 -76.30		
-30.82   	-94.30   	 73.81   	 -76.30		
-50.35   	-93.08   	 73.51   	 -81.38		
-66.83   	-114.75   	 73.18   	 -76.30		
-78.13   	-145.57   	 72.88   	 -66.12		
-82.40   	-163.88   	 72.61   	 -40.69		
-79.96   	-160.22   	 72.45   	 -15.26		
-73.85   	-143.43   	 72.39   	  25.43		
-68.97   	-130.31   	 72.49   	  66.12		
-68.66   	-129.09   	 72.76   	 122.07		
-71.11   	-137.02   	 73.24   	 172.94		
-73.55   	-144.65   	 73.94   	 223.80		
-73.55   	-146.48   	 74.83   	 269.58		
-71.72   	-142.21   	 75.91   	 315.36		
-69.27   	-136.11   	 77.17   	 340.79		
-68.05   	-132.75   	 78.53   	 366.22		
-68.05   	-132.75   	 80.00   	 381.48		
-68.66   	-135.50   	 81.53   	 391.66		
-68.66   	-138.24   	 83.09   	 386.57		
