  I     	  II     	  AO     	  AO'		
 20.14   	231.93   	 66.47   	 -45.78		
187.68   	232.85   	 66.29   	 -40.69		
386.05   	214.23   	 66.12   	 -40.69		
587.77   	146.79   	 65.96   	 -45.78		
765.08   	 10.38   	 65.78   	 -40.69		
889.59   	-174.56   	 65.62   	 -40.69		
932.92   	-345.15   	 65.45   	 -40.69		
872.80   	-430.91   	 65.29   	 -45.78		
710.75   	-411.99   	 65.11   	 -40.69		
486.45   	-332.03   	 64.94   	 -40.69		
263.37   	-254.82   	 64.78   	 -35.61		
 97.35   	-210.57   	 64.64   	 -40.69		
 12.21   	-185.24   	 64.48   	 -40.69		
 -7.63   	-150.15   	 64.31   	 -40.69		
  0.00   	-98.57   	 64.15   	 -40.69		
  3.36   	-52.19   	 63.99   	 -40.69		
 -7.63   	-34.18   	 63.82   	 -40.69		
-27.16   	-44.86   	 63.66   	 -40.69		
-45.17   	-65.31   	 63.50   	 -45.78		
-55.85   	-76.60   	 63.32   	 -40.69		
-60.12   	-74.46   	 63.15   	 -40.69		
-62.26   	-65.92   	 62.99   	 -40.69		
-64.70   	-58.90   	 62.83   	 -45.78		
-68.05   	-55.54   	 62.64   	 -45.78		
-70.80   	-54.63   	 62.46   	 -40.69		
-72.02   	-54.02   	 62.30   	 -45.78		
-71.11   	-53.10   	 62.12   	 -45.78		
-69.27   	-51.57   	 61.93   	 -45.78		
-67.44   	-50.05   	 61.75   	 -45.78		
-65.61   	-48.52   	 61.57   	 -40.69		
-63.78   	-47.30   	 61.40   	 -40.69		
-61.65   	-46.08   	 61.24   	 -45.78		
-59.51   	-44.25   	 61.06   	 -35.61		
-58.29   	-42.11   	 60.92   	 -35.61		
-57.98   	-40.28   	 60.77   	 -35.61		
-57.68   	-38.76   	 60.63   	 -30.52		
-57.37   	-37.23   	 60.51   	 -25.43		
-56.15   	-35.40   	 60.41   	 -20.35		
-54.63   	-33.26   	 60.33   	 -15.26		
-53.10   	-31.43   	 60.26   	 -10.17		
-51.88   	-30.21   	 60.22   	   5.09		
-50.35   	-28.69   	 60.24   	  10.17		
-48.83   	-26.86   	 60.28   	  30.52		
-47.00   	-24.41   	 60.41   	  45.78		
-44.86   	-21.36   	 60.59   	  66.12		
-42.72   	-18.31   	 60.85   	  86.47		
-40.28   	-14.95   	 61.20   	 116.99		
-37.23   	-11.90   	 61.67   	 142.42		
-33.87   	 -8.85   	 62.24   	 172.94		
-30.82   	 -5.80   	 62.93   	 208.54		
-28.08   	 -3.05   	 63.76   	 239.06		
-25.33   	  0.00   	 64.72   	 269.58		
-21.67   	  3.05   	 65.80   	 300.10		
-16.48   	  7.32   	 67.00   	 335.71		
-10.07   	 12.82   	 68.34   	 356.05		
 -3.66   	 18.92   	 69.77   	 386.57		
