  I     	  II     	  AO     	  AO'		
-150.76   	-148.32   	 95.52   	 -20.35		
-139.16   	-113.22   	 95.44   	 -20.35		
-126.65   	-76.90   	 95.36   	 -20.35		
-116.58   	-43.95   	 95.28   	 -25.43		
-112.30   	-18.01   	 95.18   	 -25.43		
-116.88   	 -0.31   	 95.08   	 -25.43		
-126.34   	 10.68   	 94.97   	 -25.43		
-132.75   	 19.23   	 94.87   	 -30.52		
-129.70   	 27.16   	 94.75   	 -25.43		
-117.49   	 35.10   	 94.65   	 -30.52		
-102.84   	 42.11   	 94.53   	 -25.43		
-93.08   	 47.00   	 94.42   	 -30.52		
-90.03   	 48.52   	 94.30   	 -20.35		
-90.94   	 46.39   	 94.22   	 -25.43		
-91.55   	 41.20   	 94.12   	 -20.35		
-89.72   	 34.18   	 94.04   	 -20.35		
-86.98   	 26.55   	 93.96   	 -20.35		
-84.84   	 19.23   	 93.88   	 -15.26		
-84.23   	 12.21   	 93.81   	 -15.26		
-84.84   	  4.88   	 93.75   	 -20.35		
-85.75   	 -2.44   	 93.67   	 -15.26		
-86.98   	 -9.46   	 93.61   	 -20.35		
-87.89   	-15.87   	 93.53   	 -20.35		
-88.50   	-21.36   	 93.45   	 -15.26		
-88.81   	-26.25   	 93.39   	 -25.43		
-89.42   	-31.13   	 93.29   	 -20.35		
-89.72   	-36.01   	 93.20   	 -20.35		
-89.72   	-41.20   	 93.12   	 -25.43		
-90.03   	-46.39   	 93.02   	 -25.43		
-90.64   	-51.27   	 92.92   	 -30.52		
-91.55   	-55.85   	 92.80   	 -30.52		
-93.38   	-58.90   	 92.68   	 -30.52		
-94.91   	-61.04   	 92.55   	 -30.52		
-95.83   	-62.26   	 92.43   	 -35.61		
-96.74   	-63.48   	 92.29   	 -30.52		
-98.27   	-65.92   	 92.17   	 -35.61		
-100.40   	-69.89   	 92.02   	 -30.52		
-102.23   	-74.16   	 91.90   	 -35.61		
-103.76   	-77.51   	 91.76   	 -30.52		
-104.06   	-80.26   	 91.64   	 -25.43		
-103.45   	-83.31   	 91.54   	 -30.52		
-103.45   	-88.81   	 91.41   	 -30.52		
-104.06   	-97.35   	 91.29   	 -25.43		
-106.51   	-109.56   	 91.19   	 -25.43		
-110.47   	-123.90   	 91.09   	 -25.43		
-115.36   	-139.47   	 90.99   	 -20.35		
-120.85   	-155.94   	 90.91   	 -25.43		
-126.04   	-172.73   	 90.80   	 -20.35		
-130.92   	-188.29   	 90.72   	 -25.43		
-135.80   	-200.20   	 90.62   	 -20.35		
-140.08   	-207.21   	 90.54   	 -20.35		
-143.74   	-209.35   	 90.46   	 -20.35		
-147.09   	-207.82   	 90.38   	 -15.26		
-148.32   	-202.64   	 90.32   	 -20.35		
-146.79   	-194.09   	 90.23   	 -15.26		
-141.91   	-180.36   	 90.17   	 -10.17		
-134.89   	-160.83   	 90.13   	 -15.26		
-126.95   	-136.11   	 90.07   	 -10.17		
-118.10   	-106.51   	 90.03   	 -15.26		
-106.81   	-72.33   	 89.97   	 -10.17		
-94.30   	-37.54   	 89.93   	 -10.17		
-84.23   	 -6.41   	 89.89   	 -15.26		
-82.40   	 16.78   	 89.83   	 -15.26		
-89.72   	 30.82   	 89.77   	 -15.26		
-100.71   	 39.06   	 89.70   	 -10.17		
-106.20   	 45.47   	 89.66   	 -15.26		
-100.71   	 52.49   	 89.60   	 -20.35		
-86.67   	 59.20   	 89.52   	 -15.26		
-72.63   	 65.00   	 89.46   	 -15.26		
-64.70   	 68.66   	 89.40   	 -20.35		
-63.78   	 69.89   	 89.32   	 -15.26		
-65.92   	 68.36   	 89.26   	 -20.35		
-67.14   	 64.09   	 89.18   	 -20.35		
-65.61   	 57.07   	 89.09   	 -20.35		
-63.48   	 49.44   	 89.01   	 -15.26		
-61.34   	 41.81   	 88.95   	 -20.35		
-60.12   	 34.79   	 88.87   	 -20.35		
-59.51   	 28.08   	 88.79   	 -20.35		
-59.20   	 21.06   	 88.71   	 -20.35		
-59.51   	 14.34   	 88.63   	 -20.35		
-59.81   	  7.63   	 88.54   	 -15.26		
-61.04   	  1.22   	 88.48   	 -20.35		
