  I     	  II     	  AO     	  AO'		
 88.20   	184.63   	107.95   	-101.73		
170.59   	325.01   	107.55   	-106.82		
269.47   	506.29   	107.12   	-101.73		
369.57   	697.02   	106.71   	-203.46		
508.73   	850.22(R)	105.90   	 -96.64		
527.04   	702.82   	105.51   	-101.73		
503.23   	419.62   	105.11   	 -96.64		
435.79   	 86.98   	104.72   	 -96.64		
331.42   	-191.96   	104.33   	 -96.64		
211.18   	-355.83   	103.95   	 -91.56		
104.06   	-410.16   	103.58   	 -91.56		
 31.74   	-401.92   	103.21   	 -86.47		
 -4.58   	-373.54   	102.87   	 -86.47		
-23.50   	-338.13   	102.52   	 -86.47		
-42.72   	-289.31   	102.18   	 -76.30		
-66.83   	-224.61   	101.87   	 -76.30		
-87.59   	-157.78   	101.57   	 -61.04		
-96.74   	-110.47   	101.32   	 -55.95		
-93.99   	-92.16   	101.10   	 -40.69		
-86.67   	-94.91   	100.94   	 -25.43		
-82.70   	-103.15   	100.83(D)	   5.09		
-83.01   	-106.51   	100.85   	  40.69		
-85.45   	-104.37   	101.02   	  76.30		
-87.28   	-101.32   	101.32   	 132.25		
-87.59   	-101.01   	101.85   	 183.11		
-86.67   	-101.93   	102.58   	 244.15		
-84.84   	-102.23   	103.56   	 295.01		
-82.40   	-100.40   	104.74   	 350.97		
-81.18   	-97.66   	106.14   	 401.83		
-81.18   	-95.52   	107.75   	 437.43		
-81.79   	-94.30   	109.50   	 473.04		
-82.09   	-92.77   	111.39   	 503.56		
-80.87   	-90.03   	113.41   	 528.99		
-79.04   	-87.59   	115.52   	 554.42		
-76.90   	-87.28   	117.74   	 564.60		
-75.68   	-88.50   	120.00   	 579.86		
-75.38   	-89.42   	122.32   	 595.11		
-74.46   	-87.89   	124.70   	 605.29		
-72.63   	-83.92   	127.12   	 605.29		
-70.80   	-79.35   	129.54   	 615.46		
-70.19   	-76.90   	132.00   	 610.37		
-70.80   	-75.99   	134.45   	 610.37		
-71.72   	-74.46   	136.89   	 610.37		
-72.33   	-70.50   	139.33   	 595.11		
-72.33   	-64.09   	141.71   	 595.11		
-72.63   	-58.29   	144.09   	 574.77		
-73.85   	-55.54   	146.39   	 569.68		
-75.38   	-56.76   	148.67   	 554.42		
-75.68   	-60.12   	150.88   	 544.25		
-74.16   	-61.04   	153.06   	 534.08		
-71.11   	-55.85   	155.20   	 518.82		
-68.05   	-45.17   	157.27   	 513.73		
-66.22   	-32.35   	159.33   	 498.47		
-65.31   	-20.75   	161.32   	 493.39		
-65.31   	-12.21   	163.30   	 488.30		
-65.92   	 -6.10   	165.25   	 478.13		
-67.75   	 -0.92   	167.16   	 473.04		
-69.58   	  5.19   	169.05   	 462.87		
-70.50   	 12.82   	170.90   	 457.78		
-69.58   	 21.36   	172.74   	 442.52		
-66.53   	 30.52   	174.51   	 437.43		
-63.17   	 39.67   	176.26   	 422.18		
-61.34   	 48.22   	177.94   	 417.09		
-62.26   	 56.46   	179.61   	 396.74		
-63.78   	 64.39   	181.20   	 391.66		
-63.78   	 71.41   	182.77   	 371.31		
-61.95   	 76.29   	184.25   	 361.14		
-58.59   	 78.13   	185.70   	 350.97		
-56.15   	 76.90   	187.10   	 330.62		
-54.63   	 72.94   	188.42   	 320.45		
-54.02   	 68.66   	189.70   	 305.19		
-52.19   	 65.61   	190.92   	 289.93		
-48.22   	 65.31   	192.08   	 274.67		
-42.72   	 67.75   	193.18   	 259.41		
-37.84   	 70.80   	194.22   	 239.06		
-34.18   	 73.55   	195.18   	 218.72		
-32.04   	 75.38   	196.05   	 198.37		
-30.82   	 76.29   	196.85   	 178.03		
-29.30   	 75.38   	197.56   	 157.68		
-28.38   	 70.80   	198.19   	 132.25		
-28.08   	 61.04   	198.72   	 116.99		
-28.38   	 47.30   	199.19   	  91.56		
-29.30   	 34.18   	199.55   	  71.21		
-30.21   	 25.63   	199.84   	  45.78		
-31.13   	 22.28   	200.02   	  25.43		
-32.65   	 21.97   	200.12   	   5.09		
-33.57   	 21.97   	200.14(S)	 -20.35		
-33.26   	 20.45   	200.06   	 -40.69		
-32.04   	 17.40   	199.90   	 -61.04		
-30.52   	 13.43   	199.65   	 -91.56		
-30.52   	  8.85   	199.29   	-116.99		
-32.04   	  4.27   	198.82   	-147.51		
-34.18   	  0.00   	198.23   	-172.94		
-35.10   	 -3.97   	197.54   	-208.54		
-34.79   	 -8.24   	196.70   	-244.15		
-33.87   	-13.12   	195.73   	-279.75		
-33.87   	-18.31   	194.61   	-320.45		
-35.40   	-22.28   	193.33   	-371.31		
-38.15   	-23.80   	191.84   	-417.09		
-40.59   	-24.41   	190.17   	-467.95		
-42.11   	-25.94   	188.30   	-518.82		
-42.72   	-30.52   	186.23   	-559.51		
-42.42   	-36.32   	183.99   	-590.03		
-42.42   	-40.89   	181.63   	-620.55		
-42.42   	-41.50   	179.14   	-625.63		
-42.72   	-37.84   	176.64   	-630.72		
-43.03   	-32.04   	174.12   	-625.63		
-43.64   	-25.94   	171.62   	-615.46		
-43.95   	-20.45   	169.15   	-595.11		
-43.95   	-13.73   	166.77   	-579.86		
-43.03   	 -3.05   	164.46   	-559.51		
-41.50   	 10.68   	162.22   	-534.08		
-39.37   	 23.80   	160.08   	-513.73		
-36.93   	 32.35   	158.03   	-498.47		
-35.40   	 35.10   	156.03   	-483.21		
-34.79   	 35.10   	154.10   	-467.95		
-34.79   	 37.84   	152.23   	-452.69		
-35.10   	 46.08   	150.42   	-447.61		
-33.87   	 57.07   	148.63   	-437.43		
-31.43   	 66.53   	146.88   	-432.35		
-28.38   	 71.11   	145.15   	-427.26		
-25.63   	 72.33   	143.44   	-422.18		
-22.89   	 73.24   	141.75   	-417.09		
-19.84   	 75.07   	140.08   	-406.92		
-15.56   	 76.90   	138.45   	-406.92		
-10.68   	 76.60   	136.83   	-401.83		
 -6.10   	 74.16   	135.22   	-386.57		
 -3.36   	 72.63   	133.67   	-381.48		
 -1.83   	 74.46   	132.15   	-366.22		
  0.61   	 79.35   	130.68   	-350.97		
  4.27   	 84.53   	129.28   	-340.79		
  8.85   	 86.98   	127.91   	-320.45		
 12.51   	 84.84   	126.63   	-310.27		
 12.82   	 78.74   	125.39   	-289.93		
  9.16   	 70.80   	124.23   	-274.67		
  2.44   	 60.12   	123.13   	-264.50		
 -6.41   	 46.39   	122.07   	-249.24		
-16.48   	 29.60   	121.08   	-233.98		
-26.86   	 11.90   	120.14   	-223.80		
-35.71   	 -4.88   	119.25   	-213.63		
-41.50   	-18.62   	118.39   	-203.46		
-43.64   	-28.38   	117.58   	-193.29		
-42.42   	-35.10   	116.81   	-188.20		
-40.59   	-39.37   	116.05   	-178.03		
-39.67   	-43.33   	115.34   	-167.85		
-40.28   	-47.00   	114.67   	-162.77		
-42.11   	-50.35   	114.02   	-157.68		
-43.95   	-53.10   	113.39   	-152.59		
-44.56   	-54.32   	112.78   	-147.51		
-44.25   	-54.32   	112.19   	-142.42		
-43.03   	-54.93   	111.62   	-142.42		
-41.50   	-56.15   	111.05   	-137.33		
-40.28   	-56.76   	110.50   	-132.25		
-39.06   	-54.02   	109.97   	-132.25		
-35.71   	-43.33   	109.44   	-127.16		
-26.86   	-21.06   	108.93   	-122.07		
 -7.32   	 14.04   	108.44   	-116.99		
 28.38   	 68.66   	107.98   	-122.07		
 84.53   	153.50   	107.49   	-111.90		
163.57   	281.07   	107.04   	-116.99		
260.31   	454.41   	106.57   	-111.90		
362.55   	649.72   	106.12   	-223.80		
515.14   	862.43(R)	105.23   	-106.82		
538.64   	758.67   	104.80   	-106.82		
517.58   	509.95   	104.37   	-106.82		
452.27   	190.73   	103.95   	-106.82		
350.34   	-99.18   	103.52   	-101.73		
231.02   	-289.61   	103.11   	 -96.64		
121.15   	-371.09   	102.73   	 -96.64		
 43.03   	-380.86   	102.34   	 -96.64		
  0.31   	-361.02   	101.95   	 -91.56		
-20.75   	-329.59   	101.59   	 -86.47		
-38.15   	-285.34   	101.24   	 -81.38		
-59.51   	-227.97   	100.92   	 -81.38		
-79.35   	-168.76   	100.59   	 -71.21		
-90.03   	-123.90   	100.30   	 -61.04		
-90.33   	-101.62   	100.06   	 -45.78		
-86.06   	-94.91   	 99.88   	 -30.52		
-82.70   	-92.16   	 99.76   	  -5.09		
-82.09   	-88.20   	 99.74(D)	  20.35		
-82.70   	-86.36   	 99.82   	  61.04		
-83.01   	-90.03   	100.06   	 106.82		
-82.09   	-99.18   	100.49   	 157.68		
-80.26   	-108.03   	101.12   	 213.63		
-78.43   	-110.47   	101.97   	 269.58		
-75.99   	-104.37   	103.05   	 320.45		
-74.46   	-93.69   	104.33   	 366.22		
-72.94   	-85.45   	105.80   	 412.00		
-71.41   	-83.31   	107.45   	 447.61		
-68.66   	-86.36   	109.24   	 478.13		
-65.61   	-88.50   	111.15   	 503.56		
-63.17   	-86.36   	113.16   	 523.90		
-62.56   	-80.26   	115.26   	 549.34		
-63.17   	-75.68   	117.46   	 564.60		
-65.31   	-76.90   	119.71   	 579.86		
-67.44   	-83.62   	122.03   	 590.03		
-69.27   	-90.33   	124.39   	 600.20		
-69.89   	-91.25   	126.80   	 600.20		
-68.36   	-86.36   	129.20   	 600.20		
-64.70   	-79.35   	131.60   	 600.20		
-60.42   	-75.68   	134.00   	 595.11		
-58.29   	-77.21   	136.38   	 584.94		
-59.81   	-79.96   	138.72   	 574.77		
-63.48   	-79.04   	141.02   	 564.60		
-66.22   	-72.02   	143.28   	 554.42		
-65.61   	-61.04   	145.49   	 539.16		
-61.34   	-51.88   	147.65   	 534.08		
-55.54   	-47.61   	149.79   	 518.82		
-51.27   	-48.22   	151.86   	 513.73		
-50.05   	-49.13   	153.92   	 503.56		
-52.19   	-47.00   	155.93   	 493.39		
-55.54   	-39.06   	157.90   	 483.21		
-58.29   	-26.55   	159.84   	 483.21		
-59.51   	-12.51   	161.77   	 467.95		
-58.90   	 -1.22   	163.64   	 457.78		
-57.37   	  5.49   	165.47   	 452.69		
-55.24   	  8.85   	167.28   	 442.52		
-53.10   	 12.82   	169.05   	 427.26		
-50.66   	 20.14   	170.76   	 422.18		
-48.52   	 30.21   	172.45   	 412.00		
-47.61   	 39.37   	174.10   	 396.74		
-48.22   	 43.64   	175.69   	 386.57		
-49.13   	 42.72   	177.23   	 376.40		
-49.13   	 39.37   	178.74   	 361.14		
-47.61   	 39.06   	180.18   	 350.97		
-44.56   	 44.56   	181.59   	 335.71		
-41.81   	 52.80   	182.93   	 320.45		
-40.59   	 59.51   	184.21   	 310.27		
-40.28   	 61.04   	185.45   	 289.93		
-39.67   	 58.59   	186.61   	 274.67		
-37.84   	 56.76   	187.71   	 259.41		
-33.57   	 58.90   	188.75   	 239.06		
-27.16   	 63.17   	189.70   	 223.80		
-20.45   	 65.92   	190.60   	 203.46		
-15.56   	 63.78   	191.41   	 188.20		
-13.43   	 56.76   	192.17   	 167.85		
-14.34   	 47.00   	192.84   	 152.59		
-16.48   	 35.40   	193.45   	 132.25		
-18.31   	 23.50   	193.98   	 106.82		
-18.31   	 14.04   	194.40   	  91.56		
-17.09   	  9.46   	194.77   	  71.21		
-16.48   	  8.85   	195.06   	  45.78		
