  I     	  II     	  AO     	  AO'		
-14.95   	-148.62   	 95.46   	 -86.47		
-13.43   	-145.57   	 95.12   	 -86.47		
-11.29   	-141.30   	 94.77   	 -91.56		
-10.07   	-137.33   	 94.40   	 -91.56		
 -9.77   	-133.97   	 94.04   	 -91.56		
-10.99   	-131.23   	 93.67   	 -91.56		
-13.12   	-129.09   	 93.31   	 -91.56		
-16.17   	-128.17   	 92.94   	 -91.56		
-19.84   	-128.78   	 92.57   	 -86.47		
-21.67   	-130.00   	 92.23   	 -91.56		
-20.75   	-129.39   	 91.86   	 -86.47		
-16.17   	-125.43   	 91.52   	 -86.47		
-10.68   	-118.10   	 91.17   	 -81.38		
 -6.71   	-110.78   	 90.84   	 -81.38		
 -6.10   	-106.51   	 90.52   	 -81.38		
 -8.54   	-107.42   	 90.19   	 -81.38		
-11.90   	-112.92   	 89.87   	 -71.21		
-14.04   	-120.85   	 89.58   	 -76.30		
-14.04   	-127.56   	 89.28   	 -71.21		
-13.12   	-129.09   	 88.99   	 -71.21		
-11.90   	-123.90   	 88.71   	 -71.21		
-10.68   	-112.92   	 88.42   	 -66.12		
-11.60   	-98.57   	 88.16   	 -66.12		
-17.40   	-82.09   	 87.89   	 -61.04		
-30.21   	-61.65   	 87.65   	 -61.04		
-50.35   	-33.26   	 87.41   	 -55.95		
-70.50   	 11.60   	 87.18   	 -55.95		
-80.26   	 81.18   	 86.96   	 -55.95		
-67.75   	181.27   	 86.73   	 -50.86		
-24.11   	310.67   	 86.53   	 -50.86		
 55.85   	457.76   	 86.33   	 -50.86		
171.81   	592.35   	 86.12   	 -96.64		
470.89   	638.73   	 85.74   	 -45.78		
611.57   	481.57   	 85.55   	 -45.78		
709.23   	215.45   	 85.37   	 -45.78		
741.88   	-106.81   	 85.19   	 -45.78		
700.07   	-408.02   	 85.00   	 -45.78		
592.04   	-612.79   	 84.82   	 -50.86		
440.37   	-679.02(R)	 84.62   	 -45.78		
275.88   	-607.30   	 84.44   	 -45.78		
127.56   	-440.98   	 84.25   	 -45.78		
 16.17   	-254.82   	 84.07   	 -45.78		
-49.13   	-119.93   	 83.89   	 -40.69		
-71.72   	-64.39   	 83.72   	 -40.69		
-65.61   	-68.66   	 83.56   	 -35.61		
