  I     	  II     	  AO     	  AO'		
-41.50   	 14.65   	114.34   	 -30.52		
-42.11   	 11.60   	114.22   	 -35.61		
-43.03   	 10.07   	114.08   	 -55.95		
-43.95   	 10.38   	113.86   	 -86.47		
-44.56   	 11.90   	113.51   	 -96.64		
-44.25   	 13.12   	113.12   	-101.73		
-43.95   	 12.82   	112.72   	 -81.38		
-43.95   	 10.07   	112.39   	 -66.12		
-44.56   	  6.10   	112.13   	 -50.86		
-45.78   	  2.44   	111.92   	 -40.69		
-46.08   	  0.92   	111.76   	 -45.78		
-45.17   	  2.44   	111.58   	 -50.86		
-43.03   	  5.49   	111.37   	 -61.04		
-41.20   	  8.24   	111.13   	 -66.12		
-40.59   	  9.16   	110.86   	 -61.04		
-42.11   	  7.93   	110.62   	 -55.95		
-44.25   	  6.10   	110.40   	 -45.78		
-45.47   	  5.19   	110.21   	 -40.69		
-45.17   	  6.10   	110.05   	 -40.69		
-43.64   	  8.24   	109.89   	 -40.69		
-42.11   	 10.38   	109.72   	 -55.95		
-41.20   	 11.60   	109.50   	 -66.12		
-41.20   	 12.21   	109.24   	 -81.38		
-41.50   	 11.90   	108.91   	 -91.56		
-41.50   	 11.60   	108.54   	-101.73		
-41.20   	 11.90   	108.14   	-111.90		
-39.67   	 14.95   	107.69   	-111.90		
-37.23   	 22.58   	107.24   	-122.07		
-33.57   	 35.71   	106.75   	-111.90		
-28.69   	 53.41   	106.31   	-111.90		
-24.72   	 72.33   	105.86   	-106.82		
-21.97   	 87.89   	105.43   	-111.90		
-20.75   	 97.35   	104.98   	-101.73		
-19.23   	101.32   	104.58   	 -96.64		
-15.87   	103.76   	104.19   	 -81.38		
 -9.46   	109.25   	103.87   	 -50.86		
  0.31   	121.77   	103.66   	 -25.43		
 11.60   	140.99   	103.56   	 -15.26		
 22.28   	163.88   	103.50   	  -5.09		
 31.13   	186.16   	103.48   	 -20.35		
 37.84   	203.86   	103.40   	 -45.78		
 42.42   	215.76   	103.21   	 -76.30		
 46.39   	222.78   	102.91   	-106.82		
 50.66   	226.44   	102.48   	-122.07		
 55.85   	228.27   	101.99   	-142.42		
 62.26   	228.58   	101.42   	-147.51		
 68.66   	227.36   	100.83   	-142.42		
 72.94   	225.52   	100.26   	-142.42		
 73.24   	223.08   	 99.69   	-137.33		
 69.27   	219.73   	 99.15   	-132.25		
 60.73   	210.88   	 98.62   	-137.33		
 45.78   	190.43   	 98.07   	-137.33		
 22.58   	153.81   	 97.52   	-147.51		
 -8.24   	104.06   	 96.93   	-152.59		
-40.89   	 49.44   	 96.32   	-162.77		
-66.83   	  2.14   	 95.67   	-162.77		
-78.43   	-31.13   	 95.01   	-157.68		
-76.60   	-49.74   	 94.38   	-132.25		
-68.66   	-57.98   	 93.86   	-111.90		
-62.56   	-61.34   	 93.41   	 -71.21		
-62.26   	-63.17   	 93.12   	 -45.78		
-66.22   	-65.61   	 92.94   	 -25.43		
-70.19   	-68.36   	 92.84   	 -15.26		
-71.41   	-71.11   	 92.78   	 -10.17		
-70.50   	-73.85   	 92.74   	 -15.26		
-69.58   	-75.68   	 92.68   	 -25.43		
-69.89   	-76.90   	 92.57   	 -50.86		
-70.80   	-78.13   	 92.37   	 -81.38		
-71.72   	-79.65   	 92.04   	-106.82		
-72.33   	-80.87   	 91.62   	-132.25		
-72.63   	-81.79   	 91.09   	-147.51		
-73.24   	-81.79   	 90.50   	-142.42		
-73.85   	-80.87   	 89.93   	-116.99		
-73.85   	-78.74   	 89.46   	 -81.38		
-72.63   	-76.29   	 89.13   	 -35.61		
-71.11   	-73.85   	 88.99   	   5.09		
-69.58   	-72.63   	 89.01   	  30.52		
-68.66   	-73.24   	 89.13   	  40.69		
-68.05   	-74.77   	 89.30   	  35.61		
-66.53   	-75.38   	 89.44   	  25.43		
-64.39   	-72.33   	 89.54   	  15.26		
-62.26   	-61.95   	 89.60   	   5.09		
-61.95   	-41.20   	 89.62   	   0.00		
-61.95   	-11.29   	 89.62   	   0.00		
-55.24   	 22.89   	 89.62   	 -10.17		
-34.18   	 61.04   	 89.58   	 -15.26		
  8.85   	112.61   	 89.52   	 -30.52		
 76.90   	200.20   	 89.40   	 -55.95		
171.81   	352.48   	 89.18   	 -81.38		
296.94   	580.14   	 88.85   	-101.73		
457.15   	858.15   	 88.44   	-116.99		
650.63   	1134.95   	 87.98   	-132.25		
864.56   	1350.10   	 87.45   	-132.25		
1068.73   	1459.35(R)	 86.92   	-122.07		
1224.98   	1446.23   	 86.43   	-111.90		
