  I     	  II     	  AO     	  AO'		
 24.11   	 71.41   	107.24   	   5.09		
 24.41   	 70.19   	107.26   	  10.17		
 23.50   	 68.05   	107.30   	   5.09		
 19.53   	 64.39   	107.32   	   5.09		
 11.90   	 58.29   	107.34   	   0.00		
  3.97   	 50.96   	107.34   	   5.09		
  0.31   	 45.17   	107.36   	   0.00		
  3.05   	 43.03   	107.36   	   0.00		
  8.85   	 44.56   	107.36   	   0.00		
 12.51   	 47.61   	107.36   	   0.00		
  9.16   	 49.74   	107.36   	   0.00		
  1.22   	 48.83   	107.36   	  -5.09		
 -4.58   	 46.39   	107.34   	   0.00		
 -3.97   	 44.86   	107.34   	  -5.09		
  3.05   	 44.25   	107.32   	   0.00		
 10.38   	 43.64   	107.32   	  -5.09		
 11.60   	 41.20   	107.30   	  -5.09		
  4.58   	 37.54   	107.28   	  -5.09		
 -6.10   	 34.48   	107.26   	   0.00		
-13.73   	 35.71   	107.26   	   0.00		
-14.04   	 40.59   	107.26   	  -5.09		
 -8.24   	 46.69   	107.24   	   0.00		
 -1.22   	 49.44   	107.24   	   0.00		
  1.53   	 46.69   	107.24   	   0.00		
 -0.92   	 39.06   	107.24   	   5.09		
 -7.02   	 30.52   	107.26   	   0.00		
-13.73   	 24.72   	107.26   	   5.09		
-19.53   	 23.19   	107.28   	   5.09		
-22.89   	 25.02   	107.30   	   0.00		
-24.72   	 27.16   	107.30   	   5.09		
-24.72   	 27.77   	107.32   	   5.09		
-23.19   	 26.86   	107.34   	   5.09		
-22.89   	 25.63   	107.36   	   5.09		
-24.41   	 25.63   	107.39   	   0.00		
-27.16   	 26.25   	107.39   	   5.09		
-28.08   	 26.55   	107.41   	   0.00		
-25.63   	 25.94   	107.41   	  -5.09		
-19.84   	 25.02   	107.39   	   0.00		
-14.34   	 25.33   	107.39   	  -5.09		
-11.90   	 27.16   	107.36   	  -5.09		
-13.12   	 29.91   	107.34   	  -5.09		
-16.78   	 31.74   	107.32   	   0.00		
-21.06   	 31.13   	107.32   	  -5.09		
-24.72   	 26.55   	107.30   	  -5.09		
-27.47   	 18.92   	107.28   	  -5.09		
-28.38   	 11.60   	107.26   	  -5.09		
-27.16   	  8.24   	107.24   	  -5.09		
-24.41   	 10.99   	107.22   	  -5.09		
-21.06   	 18.62   	107.20   	   0.00		
-19.53   	 27.47   	107.20   	   0.00		
-18.92   	 33.26   	107.20   	  -5.09		
-17.09   	 36.01   	107.18   	   0.00		
-12.21   	 36.93   	107.18   	   0.00		
 -5.49   	 37.23   	107.18   	   0.00		
 -0.92   	 37.23   	107.18   	   0.00		
 -0.61   	 36.32   	107.18   	  -5.09		
 -3.97   	 34.48   	107.16   	   0.00		
