  I     	  II     	  AO     	  AO'		
-40.89   	-50.66   	101.42   	-101.73		
-41.50   	-50.96   	101.02   	-101.73		
-41.81   	-50.35   	100.61   	-101.73		
-42.11   	-48.83   	100.20   	-106.82		
-42.72   	-47.00   	 99.78   	-106.82		
-43.03   	-44.86   	 99.35   	-106.82		
-43.64   	-43.33   	 98.92   	-111.90		
-44.56   	-42.42   	 98.47   	-106.82		
-45.47   	-41.20   	 98.05   	-106.82		
-46.08   	-39.67   	 97.62   	-106.82		
-45.78   	-37.84   	 97.19   	-106.82		
-45.17   	-36.93   	 96.76   	-101.73		
-44.86   	-36.93   	 96.36   	-101.73		
-45.17   	-37.54   	 95.95   	 -91.56		
-46.08   	-38.15   	 95.58   	 -91.56		
-46.39   	-38.15   	 95.22   	 -91.56		
-45.78   	-37.23   	 94.85   	 -81.38		
-44.86   	-36.01   	 94.53   	 -81.38		
-44.56   	-35.10   	 94.20   	 -76.30		
-44.86   	-35.10   	 93.90   	 -71.21		
-45.78   	-35.40   	 93.61   	 -76.30		
-46.39   	-35.40   	 93.31   	 -66.12		
-45.78   	-34.79   	 93.04   	 -71.21		
-45.17   	-33.57   	 92.76   	 -66.12		
-44.86   	-32.35   	 92.49   	 -66.12		
-45.47   	-31.43   	 92.23   	 -66.12		
-46.39   	-31.13   	 91.96   	 -66.12		
-47.30   	-30.82   	 91.70   	 -66.12		
-47.30   	-30.52   	 91.43   	 -61.04		
-46.69   	-29.60   	 91.19   	 -66.12		
-45.47   	-28.99   	 90.93   	 -66.12		
-44.86   	-28.69   	 90.66   	 -61.04		
-44.86   	-28.69   	 90.42   	 -66.12		
-45.17   	-28.99   	 90.15   	 -61.04		
-44.86   	-28.99   	 89.91   	 -66.12		
-43.95   	-28.69   	 89.64   	 -66.12		
-42.72   	-28.38   	 89.38   	 -66.12		
-41.81   	-27.77   	 89.11   	 -66.12		
-42.11   	-27.47   	 88.85   	 -71.21		
-43.03   	-27.47   	 88.57   	 -71.21		
-43.95   	-28.08   	 88.28   	 -71.21		
-44.56   	-28.38   	 88.00   	 -71.21		
-44.25   	-28.08   	 87.71   	 -71.21		
-43.64   	-26.55   	 87.43   	 -76.30		
-42.72   	-24.11   	 87.12   	 -71.21		
-42.11   	-21.67   	 86.84   	 -71.21		
-41.81   	-20.45   	 86.55   	 -71.21		
-41.81   	-20.45   	 86.27   	 -71.21		
-42.42   	-20.75   	 85.98   	 -66.12		
-43.33   	-20.75   	 85.72   	 -66.12		
-43.64   	-20.14   	 85.45   	 -71.21		
-43.33   	-18.62   	 85.17   	 -61.04		
-42.11   	-16.78   	 84.92   	 -66.12		
-40.89   	-15.26   	 84.66   	 -66.12		
-39.98   	-14.34   	 84.39   	 -66.12		
-39.67   	-14.04   	 84.13   	 -61.04		
-39.37   	-13.73   	 83.89   	 -71.21		
-39.06   	-12.51   	 83.60   	 -66.12		
-37.84   	 -9.46   	 83.34   	 -66.12		
-35.71   	 -3.97   	 83.07   	 -71.21		
-32.65   	  5.19   	 82.79   	 -66.12		
-28.38   	 17.09   	 82.52   	 -71.21		
-23.50   	 31.13   	 82.24   	 -71.21		
-19.23   	 45.17   	 81.95   	 -71.21		
-16.17   	 56.15   	 81.67   	 -71.21		
-14.95   	 62.26   	 81.38   	 -71.21		
-15.26   	 64.39   	 81.10   	 -71.21		
-14.34   	 66.83   	 80.81   	 -66.12		
-10.99   	 72.63   	 80.55   	 -66.12		
 -4.58   	 82.09   	 80.28   	 -71.21		
  2.75   	 90.64   	 80.00   	 -66.12		
  8.85   	 94.60   	 79.74   	 -66.12		
 11.90   	 91.55   	 79.47   	 -66.12		
 11.60   	 84.53   	 79.21   	 -66.12		
  8.85   	 78.43   	 78.94   	 -66.12		
  5.19   	 75.07   	 78.68   	 -66.12		
  1.83   	 72.63   	 78.41   	 -61.04		
 -0.31   	 67.44   	 78.17   	 -66.12		
 -1.22   	 56.15   	 77.90   	 -66.12		
 -2.75   	 39.98   	 77.64   	 -66.12		
 -7.02   	 23.50   	 77.38   	 -66.12		
-14.65   	 10.38   	 77.11   	 -66.12		
-24.72   	  2.14   	 76.85   	 -61.04		
-34.79   	 -4.58   	 76.60   	 -66.12		
-43.03   	-13.73   	 76.34   	 -55.95		
-49.13   	-26.25   	 76.11   	 -61.04		
-52.49   	-38.76   	 75.87   	 -55.95		
-54.02   	-47.30   	 75.65   	 -50.86		
-54.02   	-49.74   	 75.44   	 -50.86		
-53.41   	-48.22   	 75.24   	 -45.78		
-53.41   	-46.08   	 75.06   	 -40.69		
-54.63   	-46.08   	 74.89   	 -40.69		
-56.46   	-47.61   	 74.73   	 -40.69		
-58.29   	-49.74   	 74.57   	 -35.61		
-59.51   	-51.27   	 74.42   	 -40.69		
-59.81   	-52.49   	 74.26   	 -35.61		
-59.51   	-52.80   	 74.12   	 -35.61		
-59.20   	-52.49   	 73.98   	 -40.69		
-60.12   	-52.49   	 73.81   	 -40.69		
-61.04   	-52.49   	 73.65   	 -45.78		
-61.65   	-53.41   	 73.47   	 -40.69		
-61.04   	-54.63   	 73.31   	 -45.78		
-59.20   	-54.32   	 73.12   	 -45.78		
-57.68   	-50.96   	 72.94   	 -50.86		
-59.81   	-42.11   	 72.74   	 -50.86		
-68.36   	-22.28   	 72.53   	 -50.86		
-85.75   	 13.43   	 72.33   	 -50.86		
-111.39   	 65.31   	 72.13   	 -50.86		
-135.50   	123.60   	 71.92   	 -50.86		
-138.85   	173.03   	 71.72   	 -50.86		
-98.88   	200.50   	 71.52   	 -55.95		
  0.00   	204.16   	 71.29   	 -50.86		
155.94   	193.79   	 71.09   	 -50.86		
349.12   	167.54   	 70.88   	 -50.86		
551.15   	104.06   	 70.68   	 -45.78		
730.90   	-13.43   	 70.50   	 -50.86		
857.24   	-170.90   	 70.29   	 -50.86		
900.88(R)	-317.08   	 70.09   	 -45.78		
840.76   	-389.40   	 69.91   	 -50.86		
680.54   	-365.91   	 69.70   	 -50.86		
460.21   	-285.64   	 69.50   	 -50.86		
244.75   	-208.74   	 69.30   	 -55.95		
 89.11   	-163.88   	 69.07   	 -55.95		
 15.26   	-136.72   	 68.85   	 -61.04		
  3.97   	-97.35   	 68.61   	 -61.04		
 15.26   	-39.37   	 68.36   	 -61.04		
 18.92   	 12.82   	 68.12   	 -61.04		
  6.41   	 32.35   	 67.87   	 -55.95		
-13.12   	 17.09   	 67.65   	 -50.86		
-29.91   	-10.99   	 67.45   	 -45.78		
-39.06   	-28.99   	 67.26   	 -30.52		
-42.72   	-29.30   	 67.14   	 -25.43		
-44.86   	-19.23   	 67.04   	 -20.35		
-48.52   	-10.07   	 66.96   	 -10.17		
-53.71   	 -6.71   	 66.92   	   0.00		
-58.59   	 -8.24   	 66.92   	   0.00		
-61.65   	-11.29   	 66.92   	   5.09		
-62.56   	-12.21   	 66.94   	  10.17		
-61.34   	 -9.77   	 66.98   	  20.35		
-59.81   	 -4.88   	 67.06   	  30.52		
-59.51   	 -0.92   	 67.18   	  45.78		
-60.12   	 -0.31   	 67.36   	  66.12		
-61.04   	 -3.05   	 67.63   	  86.47		
-61.65   	 -7.63   	 67.98   	 106.82		
-61.04   	-10.99   	 68.40   	 132.25		
-59.51   	-10.68   	 68.93   	 152.59		
-56.76   	 -6.71   	 69.54   	 172.94		
-54.02   	 -1.53   	 70.23   	 183.11		
-51.57   	  3.05   	 70.97   	 193.29		
-50.35   	  5.19   	 71.74   	 203.46		
-50.35   	  4.27   	 72.55   	 208.54		
-50.96   	  2.14   	 73.39   	 208.54		
-50.96   	  1.22   	 74.22   	 213.63		
