  I     	  II     	  AO     	  AO'		
203.86   	209.96   	 98.33   	 137.33		
194.40   	205.38   	 98.88   	 127.16		
179.44   	193.48   	 99.39   	 122.07		
160.52   	175.78   	 99.88   	 111.90		
138.24   	153.81   	100.33   	 111.90		
114.75   	130.62   	100.77   	 101.73		
 91.25   	108.34   	101.18   	  96.64		
 69.58   	 87.89   	101.57   	  91.56		
 50.05   	 69.27   	101.93   	  86.47		
 32.65   	 50.96   	102.28   	  81.38		
 17.70   	 32.35   	102.60   	  76.30		
  4.27   	 13.73   	102.91   	  71.21		
 -7.02   	 -2.75   	103.19   	  66.12		
-15.87   	-15.56   	103.46   	  66.12		
-21.97   	-24.11   	103.72   	  50.86		
-25.94   	-28.99   	103.93   	  50.86		
-28.69   	-32.65   	104.13   	  40.69		
-31.13   	-36.62   	104.29   	  35.61		
-33.26   	-40.28   	104.43   	  25.43		
-34.48   	-43.33   	104.54   	  15.26		
-35.10   	-44.86   	104.60   	  10.17		
-34.79   	-46.08   	104.64   	   0.00		
-34.79   	-47.61   	104.64   	  -5.09		
-35.40   	-50.05   	104.62   	 -15.26		
-36.01   	-51.57   	104.56   	 -20.35		
-36.32   	-50.96   	104.48   	 -30.52		
-36.01   	-48.83   	104.35   	 -35.61		
-35.40   	-46.39   	104.21   	 -45.78		
-34.79   	-45.17   	104.03   	 -55.95		
-34.48   	-46.08   	103.80   	 -66.12		
-34.48   	-48.22   	103.54   	 -86.47		
-34.79   	-50.05   	103.19   	 -96.64		
-35.40   	-50.96   	102.81   	-116.99		
-35.71   	-50.96   	102.34   	-132.25		
-36.01   	-50.05   	101.81   	-147.51		
-35.40   	-49.44   	101.22   	-167.85		
-34.48   	-48.83   	100.55   	-178.03		
-34.48   	-49.13   	 99.84   	-183.11		
-35.40   	-50.35   	 99.10   	-183.11		
-36.62   	-52.19   	 98.37   	-183.11		
-37.84   	-54.02   	 97.64   	-172.94		
-38.15   	-54.93   	 96.95   	-157.68		
-38.45   	-54.02   	 96.32   	-137.33		
-38.45   	-51.88   	 95.77   	-122.07		
-38.45   	-50.05   	 95.28   	-101.73		
-38.45   	-49.44   	 94.87   	 -86.47		
-37.84   	-50.35   	 94.53   	 -71.21		
-37.54   	-51.88   	 94.24   	 -61.04		
-37.54   	-53.10   	 94.00   	 -50.86		
-37.84   	-53.71   	 93.79   	 -45.78		
-38.45   	-54.02   	 93.61   	 -45.78		
-38.76   	-54.32   	 93.43   	 -40.69		
-38.76   	-54.93   	 93.27   	 -40.69		
-39.06   	-55.85   	 93.10   	 -40.69		
-39.98   	-56.76   	 92.94   	 -40.69		
-40.59   	-57.68   	 92.78   	 -35.61		
-40.89   	-58.29   	 92.63   	 -35.61		
-40.59   	-57.98   	 92.49   	 -30.52		
-40.59   	-57.07   	 92.37   	 -30.52		
-40.28   	-55.85   	 92.25   	 -20.35		
-39.98   	-56.15   	 92.17   	 -20.35		
-39.98   	-57.98   	 92.09   	 -15.26		
-39.98   	-61.34   	 92.02   	 -10.17		
-40.28   	-64.70   	 91.98   	 -10.17		
-40.59   	-66.53   	 91.94   	  -5.09		
-40.59   	-66.53   	 91.92   	 -10.17		
-40.59   	-64.39   	 91.88   	 -10.17		
-39.98   	-62.56   	 91.84   	 -10.17		
-39.06   	-61.34   	 91.80   	 -15.26		
-38.15   	-62.26   	 91.74   	 -10.17		
-37.54   	-64.09   	 91.70   	 -15.26		
-37.54   	-65.61   	 91.64   	 -20.35		
-37.84   	-66.53   	 91.56   	 -20.35		
-38.45   	-66.53   	 91.47   	 -15.26		
-39.06   	-66.53   	 91.41   	 -20.35		
-39.67   	-66.83   	 91.33   	 -20.35		
-40.89   	-67.44   	 91.25   	 -25.43		
-41.81   	-67.44   	 91.15   	 -20.35		
-41.81   	-67.14   	 91.07   	 -20.35		
-40.59   	-66.83   	 90.99   	 -25.43		
-39.06   	-66.83   	 90.88   	 -20.35		
-38.76   	-68.05   	 90.80   	 -20.35		
-39.98   	-69.58   	 90.72   	 -25.43		
-41.50   	-70.80   	 90.62   	 -25.43		
-42.72   	-70.80   	 90.52   	 -25.43		
-42.42   	-69.27   	 90.42   	 -30.52		
-40.89   	-66.83   	 90.29   	 -30.52		
-38.76   	-64.09   	 90.17   	 -35.61		
-36.93   	-62.87   	 90.03   	 -35.61		
-36.01   	-63.48   	 89.89   	 -40.69		
-36.01   	-65.31   	 89.72   	 -45.78		
-36.32   	-67.44   	 89.54   	 -45.78		
-36.93   	-68.97   	 89.36   	 -45.78		
-37.23   	-69.89   	 89.18   	 -40.69		
-36.62   	-70.19   	 89.01   	 -45.78		
-35.71   	-70.19   	 88.83   	 -35.61		
-35.40   	-69.89   	 88.69   	 -30.52		
-36.01   	-68.97   	 88.57   	 -30.52		
-37.54   	-68.05   	 88.44   	 -20.35		
-38.76   	-67.44   	 88.36   	 -20.35		
-38.15   	-66.83   	 88.28   	 -15.26		
-36.32   	-67.14   	 88.22   	 -15.26		
-34.18   	-67.44   	 88.16   	 -10.17		
-32.96   	-68.05   	 88.12   	 -15.26		
-32.96   	-68.36   	 88.06   	 -15.26		
-33.57   	-67.75   	 88.00   	 -20.35		
-34.18   	-66.53   	 87.91   	 -20.35		
-34.18   	-65.61   	 87.83   	 -25.43		
-34.18   	-64.70   	 87.73   	 -30.52		
-34.48   	-64.09   	 87.61   	 -30.52		
-34.79   	-63.17   	 87.49   	 -35.61		
-35.10   	-62.26   	 87.34   	 -40.69		
-34.79   	-62.26   	 87.18   	 -45.78		
-33.87   	-63.78   	 87.00   	 -45.78		
-32.96   	-65.92   	 86.82   	 -50.86		
-32.04   	-67.14   	 86.61   	 -50.86		
-30.21   	-66.22   	 86.41   	 -50.86		
-28.08   	-63.78   	 86.21   	 -50.86		
-26.55   	-61.34   	 86.00   	 -55.95		
-26.86   	-60.42   	 85.78   	 -50.86		
-28.99   	-61.04   	 85.57   	 -55.95		
-31.43   	-62.26   	 85.35   	 -45.78		
-32.35   	-61.95   	 85.17   	 -45.78		
-31.43   	-60.12   	 84.98   	 -45.78		
