  I     	  II     	  AO     	  AO'		
 28.69   	-169.07   	115.30   	 356.05		
 24.72   	-168.46   	116.72   	 127.16		
 22.28   	-167.54   	117.23   	-137.33		
 20.45   	-167.24   	116.68   	-417.09		
 18.92   	-167.24   	115.01   	-523.90		
 16.48   	-167.54   	112.92   	-422.18		
 13.73   	-167.85   	111.23   	-279.75		
 11.60   	-167.85   	110.11   	-178.03		
 10.07   	-167.54   	109.40   	-106.82		
  9.46   	-167.24   	108.97   	-178.03		
  9.16   	-166.32   	108.26   	-330.62		
  8.85   	-165.71   	106.94   	-467.95		
  7.93   	-165.71   	105.07   	-610.37		
  6.41   	-166.02   	102.62   	-757.88		
  4.58   	-167.24   	 99.59   	-798.57		
  2.44   	-168.15   	 96.40   	-595.11		
  0.92   	-169.07   	 94.02   	-183.11		
  0.31   	-169.07   	 93.29   	 152.59		
  0.00   	-168.46   	 93.90   	 432.35		
 -0.31   	-167.54   	 95.63   	 559.51		
 -0.92   	-166.93   	 97.86   	 534.08		
 -1.83   	-166.63   	100.00   	 396.74		
 -3.05   	-166.02   	101.59   	 101.73		
 -4.58   	-165.71   	101.99   	-233.98		
 -6.41   	-165.10   	101.06   	-528.99		
 -8.24   	-164.49   	 98.94   	-747.71		
-10.99   	-163.27   	 95.95   	-925.73		
-13.73   	-162.05   	 92.25   	-986.77		
-16.78   	-159.91   	 88.30   	-722.28		
-19.84   	-157.78   	 85.41   	-137.33		
-22.89   	-155.33   	 84.86   	 427.26		
-25.63   	-153.20   	 86.57   	 656.15		
-28.08   	-150.76   	 89.20   	 595.11		
-30.21   	-148.01   	 91.58   	 391.66		
-32.04   	-144.96   	 93.14   	  81.38		
-33.87   	-141.60   	 93.47   	-193.29		
-36.01   	-137.94   	 92.70   	-310.27		
-38.45   	-134.89   	 91.45   	-325.53		
-41.50   	-132.14   	 90.15   	-188.20		
-44.25   	-129.09   	 89.40   	  50.86		
-45.47   	-126.04   	 89.60   	 223.80		
-45.17   	-122.68   	 90.50   	 254.32		
-43.95   	-119.63   	 91.52   	 167.85		
-42.72   	-117.19   	 92.19   	 -15.26		
-42.72   	-115.66   	 92.13   	-259.41		
-43.95   	-114.14   	 91.09   	-417.09		
-45.47   	-112.30   	 89.42   	-422.18		
-46.08   	-110.17   	 87.73   	-386.57		
-46.08   	-107.73   	 86.18   	-381.48		
-45.47   	-105.59   	 84.66   	-356.05		
-44.56   	-103.45   	 83.23   	-269.58		
-43.03   	-101.62   	 82.16   	-137.33		
-41.20   	-99.79   	 81.61   	 -10.17		
-39.06   	-98.27   	 81.57   	  76.30		
-36.93   	-97.66   	 81.87   	 152.59		
-35.40   	-97.66   	 82.48   	 137.33		
-34.18   	-98.27   	 83.03   	  71.21		
-33.26   	-98.57   	 83.32   	  25.43		
-32.65   	-97.96   	 83.42   	 -20.35		
-32.35   	-96.74   	 83.34   	 -61.04		
-31.74   	-94.60   	 83.09   	-162.77		
-31.43   	-91.86   	 82.44   	-381.48		
-31.74   	-88.50   	 80.92   	-645.98		
-32.65   	-83.92   	 78.33   	-849.44		
-33.57   	-78.13   	 74.93   	-788.40		
-34.48   	-71.41   	 71.78   	-300.10		
-33.87   	-65.00   	 70.58   	 437.43		
-32.04   	-58.90   	 72.33   	1088.50		
-29.30   	-53.41   	 76.68   	1271.61		
-27.47   	-47.61   	 81.77   	 905.39		
-26.25   	-41.50   	 85.39   	 183.11		
-26.25   	-34.18   	 86.12   	-467.95		
-26.25   	-26.86   	 84.25   	-813.83		
-26.25   	-20.45   	 81.00   	-788.40		
-25.63   	-15.56   	 77.84   	-488.30		
-25.02   	-13.73   	 75.89   	 -96.64		
-25.02   	-15.26   	 75.50   	 239.06		
-26.55   	-19.84   	 76.46   	 417.09		
-30.21   	-25.63   	 78.13   	 396.74		
-36.32   	-30.52   	 79.71   	 228.89		
-43.64   	-31.43   	 80.63   	 -20.35		
-50.66   	-27.47   	 80.55   	-295.01		
-55.85   	-20.45   	 79.37   	-508.65		
