  I     	  II     	  AO     	  AO'		
-14.04   	-47.30   	126.39   	-162.77		
-11.60   	-43.64   	125.74   	-172.94		
-12.82   	-40.89   	125.05   	-178.03		
-15.26   	-41.20   	124.33   	-178.03		
-17.40   	-43.64   	123.62   	-183.11		
-18.62   	-47.30   	122.89   	-167.85		
-19.23   	-49.74   	122.22   	-162.77		
-18.92   	-50.35   	121.57   	-152.59		
-18.62   	-49.44   	120.96   	-137.33		
-17.40   	-47.00   	120.41   	-127.16		
-14.34   	-43.03   	119.90   	-122.07		
 -6.10   	-34.79   	119.41   	-106.82		
  9.16   	-20.75   	118.98   	-101.73		
 31.13   	  1.53   	118.58   	 -96.64		
 57.98   	 31.43   	118.19   	 -86.47		
 86.98   	 67.75   	117.84   	 -86.47		
116.88   	108.64   	117.50   	 -86.47		
145.87   	148.93   	117.15   	 -81.38		
169.07   	179.14   	116.83   	 -86.47		
179.44   	188.90   	116.48   	 -86.47		
176.70   	171.81   	116.13   	 -86.47		
174.56   	132.75   	115.79   	 -81.38		
199.89   	 85.75   	115.46   	 -86.47		
273.44   	 46.69   	115.12   	 -81.38		
392.15   	 26.55   	114.79   	 -81.38		
524.29   	 28.69   	114.47   	 -81.38		
629.27   	 48.22   	114.14   	 -86.47		
681.46   	 74.16   	113.79   	 -91.56		
683.90(R)	 91.25   	113.43   	 -96.64		
662.23   	 87.28   	113.04   	 -96.64		
643.92   	 62.26   	112.65   	-101.73		
642.09   	 30.52   	112.25   	-101.73		
653.08   	 10.07   	111.84   	-101.73		
663.15   	  8.54   	111.43   	 -96.64		
657.35   	 16.17   	111.05   	 -91.56		
629.27   	 17.09   	110.68   	 -86.47		
584.41   	  2.75   	110.34   	 -76.30		
535.58   	-21.67   	110.03   	 -66.12		
498.05   	-45.17   	109.77   	 -50.86		
479.13   	-62.87   	109.56   	 -40.69		
474.85   	-79.65   	109.40   	 -30.52		
475.16   	-104.06   	109.28   	 -25.43		
472.11   	-139.16   	109.18   	 -15.26		
464.17   	-179.44   	109.11   	 -20.35		
455.02   	-215.15   	109.03   	 -20.35		
446.17   	-240.48   	108.95   	 -20.35		
436.40   	-254.82   	108.87   	 -25.43		
422.97   	-259.70   	108.77   	 -10.17		
404.36   	-254.82   	108.73   	  15.26		
381.47   	-242.92   	108.79   	  45.78		
355.53   	-230.41   	108.97   	  66.12		
326.23   	-227.66   	109.24   	  50.86		
292.66   	-241.39   	109.44   	  15.26		
254.52   	-269.47   	109.50   	 -61.04		
211.18   	-296.33   	109.26   	-137.33		
160.22   	-301.82   	108.71   	-203.46		
 99.49   	-273.44   	107.89   	-244.15		
 29.91   	-212.71   	106.92   	-249.24		
-42.72   	-135.50   	105.92   	-208.54		
-106.51   	-62.87   	105.09   	-152.59		
-151.67   	-12.82   	104.48   	 -81.38		
-176.09   	  9.16   	104.15   	  -5.09		
-184.02   	 10.38   	104.13   	  50.86		
-183.72   	  3.97   	104.33   	 106.82		
-182.19   	  1.22   	104.76   	 157.68		
-182.19   	  5.49   	105.39   	 203.46		
-184.02   	 13.43   	106.21   	 244.15		
-186.46   	 21.36   	107.18   	 295.01		
-188.29   	 27.77   	108.36   	 335.71		
-188.90   	 33.26   	109.70   	 371.31		
-188.29   	 39.98   	111.19   	 396.74		
-186.46   	 46.39   	112.78   	 412.00		
-184.63   	 50.05   	114.42   	 432.35		
-183.41   	 48.22   	116.15   	 447.61		
-183.41   	 41.81   	117.94   	 457.78		
-184.94   	 32.96   	119.78   	 473.04		
-187.07   	 25.33   	121.67   	 483.21		
-188.90   	 20.75   	123.60   	 473.04		
-189.82   	 19.53   	125.49   	 467.95		
-190.43   	 20.14   	127.36   	 442.52		
-191.96   	 21.97   	129.13   	 422.18		
-195.92   	 24.41   	130.82   	 396.74		
-202.64   	 27.47   	132.41   	 376.40		
-210.57   	 30.21   	133.92   	 350.97		
-218.81   	 32.96   	135.32   	 340.79		
-226.14   	 36.93   	136.68   	 335.71		
-231.93   	 42.72   	138.03   	 320.45		
-237.43   	 50.66   	139.31   	 310.27		
-244.14   	 59.20   	140.55   	 295.01		
-252.08   	 66.22   	141.73   	 289.93		
-261.23   	 70.50   	142.89   	 279.75		
-269.78   	 72.63   	144.01   	 274.67		
-277.40   	 74.77   	145.11   	 274.67		
-284.42   	 78.74   	146.20   	 274.67		
-291.44   	 85.75   	147.30   	 259.41		
-298.16   	 94.91   	148.34   	 233.98		
-303.96   	105.29   	149.28   	 183.11		
-307.62   	116.88   	150.01   	 127.16		
-308.23   	129.39   	150.52   	  66.12		
-306.09   	143.74   	150.78   	  -5.09		
-302.43   	160.52   	150.76   	 -61.04		
-298.77   	176.39   	150.52   	-106.82		
-294.49   	188.29   	150.09   	-137.33		
-288.70   	193.18   	149.54   	-152.59		
-281.68   	191.65   	148.93   	-132.25		
-273.44   	187.38   	148.40   	-101.73		
-264.89   	183.72   	148.00   	 -45.78		
-256.35   	183.11   	147.81   	   0.00		
-247.80   	185.55   	147.81   	  50.86		
-237.73   	189.82   	148.02   	  91.56		
-225.52   	195.01   	148.38   	 122.07		
-211.18   	199.89   	148.87   	 142.42		
-195.92   	200.81   	149.44   	 157.68		
-180.36   	195.92   	150.07   	 152.59		
-166.93   	184.33   	150.68   	 137.33		
-155.64   	169.68   	151.23   	  91.56		
-145.87   	157.47   	151.60   	  40.69		
-136.11   	150.76   	151.76(S)	 -30.52		
-125.73   	148.62   	151.64   	-101.73		
-114.75   	147.71   	151.23   	-172.94		
-104.06   	143.74   	150.54   	-249.24		
-94.91   	134.58   	149.54   	-315.36		
-87.28   	119.32   	148.28   	-361.14		
-80.26   	100.40   	146.84   	-381.48		
-73.24   	 81.48   	145.31   	-350.97		
-65.92   	 65.31   	143.91   	-289.93		
-58.90   	 53.10   	142.75   	-193.29		
-53.10   	 42.72   	141.97   	-106.82		
-49.44   	 32.96   	141.55   	 -30.52		
-46.08   	 23.80   	141.42   	  20.35		
-42.42   	 16.17   	141.51   	  61.04		
-37.84   	 10.99   	141.75   	  86.47		
-33.57   	  6.71   	142.10   	 106.82		
-30.52   	  1.22   	142.52   	 122.07		
-28.08   	 -5.49   	143.01   	 132.25		
-25.33   	-10.68   	143.54   	 137.33		
-21.36   	-11.29   	144.09   	 116.99		
-17.40   	 -5.80   	144.56   	  66.12		
-15.87   	  5.49   	144.82   	 -25.43		
-17.70   	 21.67   	144.72   	-142.42		
-21.67   	 40.28   	144.15   	-284.84		
-25.33   	 58.59   	143.01   	-412.00		
-25.94   	 74.46   	141.36   	-498.47		
-24.11   	 85.45   	139.37   	-518.82		
-21.36   	 92.77   	137.29   	-478.13		
-18.01   	 99.18   	135.38   	-396.74		
-13.43   	107.73   	133.79   	-305.19		
 -7.93   	117.49   	132.57   	-218.72		
 -3.97   	124.82   	131.70   	-157.68		
 -4.27   	123.60   	131.07   	-132.25		
 -8.54   	111.69   	130.54   	-111.90		
-12.51   	 91.25   	130.09   	-101.73		
 -9.77   	 68.05   	129.68   	 -96.64		
  2.14   	 47.91   	129.30   	 -81.38		
 19.84   	 32.96   	128.97   	 -81.38		
 36.62   	 21.67   	128.65   	 -86.47		
 47.91   	 13.43   	128.30   	-106.82		
 53.71   	  8.24   	127.87   	-127.16		
 53.10   	  6.10   	127.36   	-152.59		
 45.47   	  5.19   	126.75   	-152.59		
 28.99   	  0.31   	126.14   	-142.42		
  7.32   	-13.73   	125.57   	-116.99		
-13.73   	-36.93   	125.11   	 -76.30		
-26.86   	-63.17   	124.80   	 -50.86		
-31.13   	-83.92   	124.60   	 -40.69		
-30.52   	-94.30   	124.43   	 -50.86		
-28.99   	-93.99   	124.23   	 -66.12		
-27.77   	-87.59   	123.97   	 -96.64		
-25.63   	-80.87   	123.58   	-127.16		
