  I     	  II     	  AO     	  AO'		
164.18   	 53.10   	 94.99   	 172.94		
166.32   	 54.63   	 95.69   	 178.03		
170.59   	 52.49   	 96.40   	 183.11		
176.70   	 48.22   	 97.13   	 183.11		
184.63   	 44.56   	 97.86   	 193.29		
193.48   	 44.56   	 98.64   	 198.37		
203.55   	 47.30   	 99.43   	 198.37		
215.15   	 49.74   	100.22   	 193.29		
227.36   	 49.74   	101.00   	 193.29		
239.87   	 45.47   	101.77   	 178.03		
250.85   	 38.76   	102.48   	 172.94		
258.48   	 31.43   	103.17   	 162.77		
263.06   	 24.41   	103.82   	 152.59		
266.11   	 18.31   	104.43   	 137.33		
269.78   	 14.34   	104.98   	 116.99		
274.35   	 12.51   	105.45   	 101.73		
278.32   	 11.90   	105.86   	  71.21		
278.93   	 10.38   	106.14   	  50.86		
276.49   	  5.80   	106.35   	  25.43		
272.52   	 -1.53   	106.45   	   5.09		
269.17   	 -9.46   	106.47   	 -25.43		
267.33   	-16.17   	106.37   	 -45.78		
265.50   	-21.06   	106.18   	 -71.21		
263.06   	-24.72   	105.90   	-101.73		
259.70   	-28.69   	105.49   	-122.07		
257.57   	-32.35   	105.00   	-157.68		
256.96   	-34.48   	104.37   	-178.03		
257.57   	-35.10   	103.66   	-213.63		
256.96   	-34.79   	102.81   	-239.06		
254.52   	-34.18   	101.85   	-264.50		
251.46   	-33.26   	100.79   	-279.75		
248.41   	-32.96   	 99.67   	-289.93		
247.19   	-33.26   	 98.51   	-279.75		
246.89   	-34.18   	 97.40   	-269.58		
245.67   	-34.48   	 96.32   	-244.15		
243.23   	-33.26   	 95.34   	-218.72		
240.17   	-30.21   	 94.47   	-198.37		
238.04   	-26.55   	 93.67   	-178.03		
237.12   	-23.80   	 92.96   	-167.85		
237.43   	-23.50   	 92.29   	-152.59		
237.73   	-24.72   	 91.68   	-147.51		
236.51   	-25.02   	 91.09   	-132.25		
234.38   	-23.19   	 90.56   	-116.99		
231.63   	-18.31   	 90.09   	-106.82		
228.27   	-12.51   	 89.66   	 -91.56		
224.91   	 -7.63   	 89.30   	 -81.38		
221.56   	 -4.88   	 88.97   	 -66.12		
218.81   	 -3.66   	 88.71   	 -61.04		
216.67   	 -3.05   	 88.46   	 -61.04		
215.45   	 -2.44   	 88.22   	 -50.86		
213.93   	 -0.92   	 88.02   	 -55.95		
211.79   	  0.61   	 87.79   	 -50.86		
209.35   	  2.44   	 87.59   	 -55.95		
206.60   	  4.58   	 87.36   	 -55.95		
204.77   	  7.32   	 87.14   	 -55.95		
203.25   	 10.38   	 86.92   	 -55.95		
201.72   	 12.51   	 86.69   	 -50.86		
200.20   	 12.51   	 86.49   	 -55.95		
198.67   	 10.38   	 86.27   	 -55.95		
197.45   	  7.32   	 86.04   	 -61.04		
196.84   	  5.49   	 85.80   	 -61.04		
197.45   	  6.71   	 85.55   	 -66.12		
198.36   	 10.07   	 85.29   	 -66.12		
198.67   	 12.82   	 85.03   	 -71.21		
198.36   	 14.04   	 84.74   	 -71.21		
197.14   	 13.43   	 84.46   	 -71.21		
196.23   	 11.60   	 84.17   	 -66.12		
195.62   	 10.07   	 83.91   	 -71.21		
195.62   	 10.07   	 83.62   	 -66.12		
195.31   	 10.38   	 83.36   	 -66.12		
194.40   	 10.07   	 83.09   	 -61.04		
192.57   	  8.54   	 82.85   	 -66.12		
190.12   	  5.19   	 82.58   	 -55.95		
188.29   	  2.14   	 82.36   	 -61.04		
187.68   	  0.00   	 82.12   	 -61.04		
188.29   	 -0.31   	 81.87   	 -55.95		
189.21   	  0.31   	 81.65   	 -55.95		
189.82   	  0.92   	 81.42   	 -55.95		
189.21   	  1.22   	 81.20   	 -55.95		
187.99   	  1.53   	 80.98   	 -50.86		
185.85   	  1.83   	 80.77   	 -55.95		
183.72   	  1.83   	 80.55   	 -55.95		
182.50   	  0.92   	 80.33   	 -61.04		
181.88   	 -1.22   	 80.08   	 -55.95		
182.19   	 -3.97   	 79.86   	 -61.04		
182.19   	 -6.41   	 79.61   	 -66.12		
181.58   	 -7.93   	 79.35   	 -66.12		
180.05   	 -8.85   	 79.08   	 -71.21		
178.22   	 -9.46   	 78.80   	 -71.21		
177.00   	-10.38   	 78.51   	 -71.21		
176.39   	-11.90   	 78.23   	 -76.30		
