  I     	  II     	  AO     	  AO'		
-62.26   	-40.28   	 85.09   	 -71.21		
-62.26   	-38.76   	 84.80   	 -66.12		
-61.95   	-36.93   	 84.54   	 -61.04		
-61.34   	-35.71   	 84.29   	 -61.04		
-60.73   	-35.71   	 84.05   	 -55.95		
-60.42   	-36.93   	 83.82   	 -61.04		
-59.81   	-38.76   	 83.58   	 -55.95		
-59.51   	-40.89   	 83.36   	 -66.12		
-58.59   	-41.81   	 83.09   	 -61.04		
-57.98   	-41.81   	 82.85   	 -71.21		
-57.68   	-40.89   	 82.56   	 -66.12		
-57.68   	-39.06   	 82.30   	 -71.21		
-57.37   	-37.54   	 82.01   	 -71.21		
-56.76   	-36.62   	 81.73   	 -71.21		
-56.15   	-36.32   	 81.44   	 -66.12		
-55.85   	-37.23   	 81.18   	 -61.04		
-55.85   	-38.15   	 80.94   	 -55.95		
-56.15   	-38.45   	 80.71   	 -55.95		
-55.54   	-37.84   	 80.49   	 -50.86		
-53.71   	-36.32   	 80.28   	 -50.86		
-51.57   	-35.40   	 80.08   	 -45.78		
-50.05   	-35.40   	 79.90   	 -50.86		
-49.74   	-35.40   	 79.69   	 -45.78		
-50.35   	-35.40   	 79.51   	 -50.86		
-50.96   	-34.79   	 79.31   	 -50.86		
-50.96   	-33.87   	 79.10   	 -45.78		
-50.35   	-32.35   	 78.92   	 -45.78		
-49.44   	-30.82   	 78.74   	 -45.78		
-48.83   	-29.30   	 78.56   	 -45.78		
-48.83   	-28.38   	 78.37   	 -40.69		
-48.83   	-28.08   	 78.21   	 -40.69		
-49.13   	-28.38   	 78.05   	 -45.78		
-49.13   	-28.99   	 77.86   	 -50.86		
-49.13   	-29.30   	 77.66   	 -61.04		
-47.91   	-28.38   	 77.42   	 -66.12		
-45.47   	-24.72   	 77.15   	 -71.21		
-40.89   	-16.78   	 76.87   	 -76.30		
-35.10   	 -4.58   	 76.56   	 -71.21		
-28.38   	 11.29   	 76.28   	 -76.30		
-22.58   	 27.47   	 75.97   	 -66.12		
-18.62   	 39.98   	 75.71   	 -61.04		
-17.09   	 46.08   	 75.46   	 -50.86		
-16.48   	 47.61   	 75.26   	 -40.69		
-14.95   	 48.83   	 75.10   	 -30.52		
-10.38   	 54.32   	 74.97   	 -15.26		
 -3.36   	 65.00   	 74.91   	  -5.09		
  4.88   	 76.60   	 74.89   	   0.00		
 11.29   	 82.70   	 74.89   	  10.17		
 14.65   	 80.87   	 74.93   	  15.26		
 14.34   	 73.55   	 74.99   	  15.26		
 11.29   	 65.31   	 75.06   	  20.35		
  7.32   	 59.20   	 75.14   	  20.35		
  3.97   	 54.93   	 75.22   	  15.26		
  1.53   	 47.91   	 75.28   	   5.09		
 -0.31   	 35.71   	 75.30   	   0.00		
 -2.75   	 19.23   	 75.30   	  -5.09		
 -7.63   	  2.14   	 75.28   	 -20.35		
-16.17   	-12.82   	 75.20   	 -25.43		
-27.16   	-24.41   	 75.10   	 -40.69		
-37.84   	-33.87   	 74.93   	 -45.78		
