  I     	  II     	  AO     	  AO'		
-30.52   	-23.80   	109.97   	   0.00		
-28.99   	-28.38   	109.97   	   5.09		
-25.94   	-28.08   	109.99   	   0.00		
-22.28   	-23.19   	109.99   	   0.00		
-19.53   	-17.09   	109.99   	   0.00		
-18.92   	-13.12   	109.99   	   5.09		
-21.36   	-12.51   	110.01   	   0.00		
-26.25   	-13.73   	110.01   	   0.00		
-30.82   	-13.43   	110.01   	   0.00		
-31.43   	 -9.46   	110.01   	   0.00		
-27.16   	 -2.44   	110.01   	   0.00		
-20.75   	  4.27   	110.01   	   0.00		
-16.17   	  7.02   	110.01   	   0.00		
-16.17   	  4.88   	110.01   	   0.00		
-19.84   	  0.31   	110.01   	   0.00		
-23.19   	 -2.14   	110.01   	   0.00		
-24.41   	 -0.61   	110.01   	   0.00		
-23.19   	  4.27   	110.01   	   0.00		
-21.67   	  8.24   	110.01   	   0.00		
-20.75   	  8.85   	110.01   	   0.00		
-21.67   	  6.41   	110.01   	   0.00		
-23.19   	  3.36   	110.01   	   5.09		
-24.11   	  1.53   	110.03   	   0.00		
-24.11   	  1.53   	110.03   	   0.00		
-22.89   	  2.14   	110.03   	   5.09		
-20.45   	  3.05   	110.05   	   0.00		
-18.62   	  3.97   	110.05   	   5.09		
-18.92   	  3.66   	110.07   	   0.00		
-22.28   	  1.53   	110.07   	   0.00		
-27.77   	 -3.36   	110.07   	   5.09		
-32.65   	 -9.46   	110.09   	   0.00		
-33.26   	-14.65   	110.09   	   0.00		
-28.99   	-16.48   	110.09   	   5.09		
-22.28   	-15.87   	110.11   	   0.00		
-16.78   	-15.26   	110.11   	   0.00		
-16.17   	-17.70   	110.11   	   5.09		
-20.75   	-21.97   	110.13   	   0.00		
-26.86   	-26.25   	110.13   	   0.00		
-30.52   	-27.47   	110.13   	   0.00		
-29.30   	-25.02   	110.13   	   0.00		
-24.41   	-21.97   	110.13   	   0.00		
-19.53   	-21.97   	110.13   	   0.00		
-17.70   	-25.63   	110.13   	   0.00		
-19.53   	-31.13   	110.13   	   0.00		
-22.89   	-35.71   	110.13   	   0.00		
-25.33   	-36.62   	110.13   	   0.00		
-25.33   	-34.48   	110.13   	   0.00		
-23.50   	-30.52   	110.13   	  -5.09		
-22.89   	-28.08   	110.11   	   0.00		
-23.80   	-28.38   	110.11   	   0.00		
-25.94   	-32.04   	110.11   	   0.00		
-27.16   	-36.62   	110.11   	   0.00		
-26.55   	-38.15   	110.11   	   0.00		
-25.02   	-33.87   	110.11   	   0.00		
-23.19   	-22.58   	110.11   	   0.00		
-22.58   	 -6.71   	110.11   	   5.09		
-22.28   	  9.77   	110.13   	   0.00		
-21.06   	 23.50   	110.13   	   5.09		
-18.31   	 32.35   	110.15   	   5.09		
-14.34   	 35.40   	110.17   	   5.09		
 -8.54   	 34.48   	110.19   	  10.17		
 -1.83   	 33.26   	110.23   	   5.09		
  4.27   	 36.32   	110.25   	  10.17		
  8.85   	 48.83   	110.29   	  10.17		
 10.68   	 72.02   	110.34   	  10.17		
 10.38   	 98.88   	110.38   	  15.26		
  9.77   	117.80   	110.44   	  10.17		
 12.51   	119.32   	110.48   	  15.26		
 20.45   	102.23   	110.54   	  10.17		
 32.35   	 74.77   	110.58   	  15.26		
 43.33   	 48.22   	110.64   	  10.17		
 48.52   	 30.21   	110.68   	  15.26		
 45.17   	 20.75   	110.74   	  10.17		
 32.65   	 14.65   	110.78   	  15.26		
 14.65   	  7.63   	110.84   	  15.26		
 -4.27   	 -1.53   	110.90   	  15.26		
-19.84   	-12.82   	110.97   	  10.17		
-28.08   	-25.63   	111.01   	  15.26		
-29.30   	-39.67   	111.07   	  15.26		
-26.86   	-53.71   	111.13   	  10.17		
-24.41   	-65.31   	111.17   	  15.26		
-25.02   	-73.24   	111.23   	  10.17		
-28.69   	-76.60   	111.27   	   5.09		
-32.04   	-77.51   	111.29   	  10.17		
-33.26   	-76.60   	111.33   	   0.00		
-32.65   	-75.68   	111.33   	   5.09		
-32.35   	-74.77   	111.35   	  -5.09		
-33.26   	-75.07   	111.33   	  -5.09		
-34.79   	-75.38   	111.31   	  -5.09		
-35.71   	-75.68   	111.29   	 -15.26		
-35.40   	-75.99   	111.23   	 -15.26		
-36.01   	-76.90   	111.17   	 -20.35		
-39.06   	-80.26   	111.09   	 -20.35		
-47.00   	-88.81   	111.01   	 -25.43		
-59.51   	-105.90   	110.90   	 -30.52		
-76.29   	-134.58   	110.78   	 -25.43		
-96.13   	-175.48   	110.68   	 -30.52		
-113.22   	-220.34   	110.56   	 -30.52		
-118.10   	-250.24   	110.44   	 -30.52		
-95.83   	-242.92   	110.31   	 -35.61		
-32.04   	-181.27   	110.17   	 -30.52		
 82.40   	-60.73   	110.05   	 -30.52		
239.56   	113.83   	109.93   	 -30.52		
411.68   	334.78   	109.81   	 -30.52		
552.67   	597.84   	109.68   	 -35.61		
619.81   	884.40   	109.54   	 -55.95		
470.89   	1279.30(R)	109.32   	 -20.35		
305.18   	1250.31   	109.24   	 -15.26		
140.99   	1050.42   	109.18   	  -5.09		
 14.34   	752.26   	109.16   	  10.17		
-65.61   	460.51   	109.20   	  15.26		
-111.39   	248.41   	109.26   	  30.52		
-143.43   	125.73   	109.38   	  66.12		
-173.03   	 64.39   	109.64   	 142.42		
-198.06   	 35.10   	110.21   	 233.98		
-206.91   	 22.28   	111.15   	 320.45		
-192.26   	 18.92   	112.43   	 371.31		
-157.78   	 16.17   	113.92   	 366.22		
-115.97   	  1.53   	115.38   	 300.10		
-80.26   	-29.91   	116.58   	 172.94		
-58.29   	-70.19   	117.27   	  30.52		
-49.13   	-104.98   	117.40   	-137.33		
-47.91   	-125.43   	116.85   	-269.58		
-47.91   	-132.14   	115.77   	-381.48		
-45.78   	-131.53   	114.24   	-452.69		
-41.20   	-129.09   	112.43   	-478.13		
-35.71   	-129.09   	110.52   	-478.13		
-32.35   	-132.45   	108.61   	-442.52		
-32.96   	-136.72   	106.84   	-401.83		
-35.71   	-138.55   	105.23   	-350.97		
-38.15   	-136.11   	103.82   	-295.01		
-38.15   	-131.53   	102.64   	-239.06		
-34.79   	-126.95   	101.69   	-188.20		
-30.21   	-124.82   	100.94   	-137.33		
-26.86   	-125.12   	100.39   	 -76.30		
-25.33   	-126.34   	100.08   	 -25.43		
-25.63   	-128.17   	 99.98   	  30.52		
-26.25   	-129.39   	100.10   	  76.30		
-26.25   	-130.00   	100.41   	 111.90		
-24.72   	-130.00   	100.85   	 137.33		
-23.19   	-129.09   	101.40   	 142.42		
-21.97   	-126.95   	101.97   	 142.42		
-21.67   	-124.82   	102.54   	 147.51		
-22.28   	-123.60   	103.13   	 142.42		
-22.89   	-124.21   	103.70   	 147.51		
-22.58   	-126.04   	104.29   	 152.59		
-20.14   	-126.95   	104.90   	 162.77		
-16.78   	-125.43   	105.55   	 167.85		
-12.82   	-122.07   	106.23   	 183.11		
-10.38   	-119.02   	106.96   	 188.20		
-10.07   	-117.80   	107.71   	 188.20		
-11.60   	-117.80   	108.46   	 198.37		
-13.43   	-117.80   	109.26   	 193.29		
-14.65   	-116.58   	110.03   	 188.20		
-13.12   	-113.22   	110.78   	 193.29		
 -9.77   	-110.17   	111.56   	 188.20		
 -5.80   	-108.64   	112.31   	 193.29		
 -3.36   	-109.25   	113.08   	 193.29		
 -3.05   	-111.69   	113.86   	 193.29		
 -4.58   	-114.44   	114.63   	 188.20		
 -6.71   	-116.27   	115.38   	 188.20		
 -7.63   	-116.27   	116.13   	 178.03		
 -6.71   	-115.36   	116.85   	 167.85		
 -4.58   	-112.92   	117.52   	 152.59		
 -2.44   	-109.56   	118.13   	 142.42		
 -1.53   	-106.20   	118.70   	 137.33		
 -2.14   	-102.84   	119.25   	 127.16		
 -5.49   	-99.18   	119.76   	 127.16		
-10.68   	-94.91   	120.26   	 122.07		
-16.48   	-87.89   	120.75   	 132.25		
-21.06   	-78.43   	121.28   	 132.25		
-21.67   	-67.44   	121.81   	 142.42		
-16.78   	-54.93   	122.38   	 142.42		
 -8.54   	-41.81   	122.95   	 147.51		
  0.31   	-28.08   	123.54   	 142.42		
  6.41   	-14.65   	124.11   	 147.51		
